Order_ID,Order_Date,Region,Country,Sales_Channel,Product_Model,Category,Gender,Shoe_Size,Color,Quantity,List_Price_USD,Discount_Percent,Unit_Selling_Price_USD,Revenue_USD,Estimated_Cost_USD,Profit_USD,Customer_Rating,Return_Flag,Payment_Method,Month,Month_Name,Quarter,Month_Year,Is_Returned
NK001,2025-03-29,Latin America,Brazil,Retail Store,Invincible 3,Running,Women,10,Grey,1,190,10,171.0,171.0,92.34,78.66,5.0,No,UPI,3,Mar,1,2025-03,False
NK002,2025-08-24,North America,USA,Online,Vomero 18,Running,Women,7,Blue,1,150,5,142.5,0.0,0.0,0.0,4.5,Yes,UPI,8,Aug,3,2025-08,True
NK003,2025-08-30,Latin America,Argentina,Online,Air Force 1,Lifestyle,Men,8,Blue,3,110,0,110.0,330.0,235.33,94.67,4.5,No,Credit Card,8,Aug,3,2025-08,False
NK004,2025-02-23,Latin America,Argentina,Retail Store,Sabrina 3,Basketball,Men,6,White,2,120,5,114.0,228.0,132.77,95.23,4.5,No,Debit Card,2,Feb,1,2025-02,False
NK005,2025-07-27,Asia-Pacific,Singapore,Online,Dunk Low,Lifestyle,Unisex,13,Blue,1,145,0,145.0,145.0,84.83,60.17,4.5,No,Credit Card,7,Jul,3,2025-07,False
NK006,2025-05-19,Latin America,Chile,Retail Store,Sabrina 3,Basketball,Women,5,Red,1,120,15,102.0,102.0,53.15,48.85,3.5,No,Debit Card,5,May,2,2025-05,False
NK007,2025-08-04,Middle East & Africa,UAE,Retail Store,Metcon 10,Training,Women,7,Black,1,150,5,142.5,142.5,82.96,59.54,4.5,No,PayPal,8,Aug,3,2025-08,False
NK008,2025-02-11,Asia-Pacific,South Korea,Online,Air Force 1,Lifestyle,Men,11,Black,1,140,10,126.0,126.0,76.29,49.71,4.0,No,Debit Card,2,Feb,1,2025-02,False
NK009,2025-08-31,North America,Canada,Wholesale,KD 18,Basketball,Women,13,Grey,3,160,5,152.0,456.0,291.74,164.26,5.0,No,UPI,8,Aug,3,2025-08,False
NK010,2025-10-10,Europe,UK,Retail Store,Giannis Immortality 4,Basketball,Unisex,11,Green,1,90,0,90.0,90.0,63.12,26.88,4.5,No,Debit Card,10,Oct,4,2025-10,False
